h_booking_id,booking_datetime,checkin_date,checkout_date,hotel_id,hotel_country_code,hotel_live_date,hotel_star_rating,accommadation_type_name,charge_option,h_customer_id,customer_nationality,guest_is_not_the_customer,guest_nationality_country_name,no_of_adults,no_of_children,no_of_extra_bed,no_of_room,origin_country_code,language,original_selling_amount,original_payment_method,original_payment_type,original_payment_currency,is_user_logged_in,cancellation_policy_code,is_first_booking,request_nonesmoke,request_latecheckin,request_highfloor,request_largebed,request_twinbeds,request_airport,request_earlycheckin,cancellation_datetime,hotel_area_code,hotel_brand_code,hotel_chain_code,hotel_city_code
7514113482948696688,2018-08-20 18:05:00,2018-09-06 00:00:00,2018-09-08 00:00:00,79136,GB,2010-09-03 07:07:00,3.0,Hotel,Pay Now,118265676881600061,Taiwan,0,Taiwan,2,0,0,2,TW,T. Chinese / Taiwan,276.92,MasterCard,Credit Card,TWD,True,365D100P_100P,False,,,,,,,,,4028,334.0,537.0,335
5850591878625510265,2018-07-27 10:27:00,2018-07-27 00:00:00,2018-07-31 00:00:00,44579,MY,2009-06-28 02:02:00,3.0,Hotel,Pay Now,7798770726072690090,Netherlands,0,Netherlands,4,1,0,2,MY,English,349.44,MasterCard,Credit Card,EUR,False,365D100P_100P,False,,,,,,,,,4032,,,61
7076325052379615161,2018-05-24 12:51:00,2018-07-24 00:00:00,2018-07-26 00:00:00,4797098,JP,2018-03-26 08:22:00,3.0,Hotel,Pay Later,949221462878500093,Hong Kong,0,Hong Kong,2,1,0,1,HK,T.Chinese / Hongkong,266.45,MasterCard,Credit Card,HKD,True,1D100P_100P,False,,,,,,,,2018-06-15,5045,319.0,620.0,1572
-968053517932577986,2018-05-17 00:51:00,2018-09-18 00:00:00,2018-09-20 00:00:00,4812683,GB,2018-03-23 21:08:00,3.0,Hotel,Pay Now,6471074445440800055,Netherlands,0,Netherlands,2,0,0,1,NL,Dutch,336.72,IDEAL,Credit Card,EUR,False,2D50P_100P,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,900,,,2782
-655888492117693870,2018-04-14 23:52:00,2018-08-21 00:00:00,2018-08-23 00:00:00,3086568,TH,2017-11-02 13:00:00,3.0,Resort,Pay Now,5790998966400980074,India,0,India,2,0,0,1,IN,English,38.53,Visa,Credit Card,INR,False,7D100P,False,,,,,,,,2018-04-21,5886,,,1117
-3077469545720090073,2018-07-10 17:24:00,2018-07-13 00:00:00,2018-07-14 00:00:00,2603171,TW,2017-08-02 20:03:00,0.0,Motel,Pay Now,6194721591633460079,Taiwan,0,Taiwan,2,0,0,1,TW,T. Chinese / Taiwan,42.17,UNKNOWN,Credit Card,TWD,True,1D100P,False,,,,,,,,2018-07-10,1014,,,135
4379827701478924749,2018-05-20 21:53:00,2018-07-07 00:00:00,2018-07-08 00:00:00,1194525,SG,2016-04-27 14:59:00,3.0,Hotel,Pay Later,7161805019323390001,Thailand,0,Thailand,3,0,0,1,TH,English,66.16,MasterCard,Credit Card,THB,True,1D1N_1N,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4986,,,437
-8265995304256742189,2018-07-10 14:08:00,2018-07-19 00:00:00,2018-07-20 00:00:00,241081,PH,2010-11-24 07:09:00,4.0,Hotel,Pay Later,4297886767956780033,Japan,0,Japan,1,0,0,1,JP,Japanese,123.17,Visa,Credit Card,JPY,True,3D1N_100P,False,,,,,,,,,5001,,,2310
-6584525731321110018,2018-02-25 21:45:00,2018-07-03 00:00:00,2018-07-06 00:00:00,611445,JP,2014-03-31 08:23:00,4.5,Hotel,Pay Now,836544355229520029,China,0,China,2,1,0,1,CN,S.Chinese / Mainland,692.94,Alipay,Credit Card,CNY,True,1D1N_1N,True,,,,,,,,2018-05-22,1303,701.0,55.0,2249
8885505903299799870,2018-02-08 09:59:00,2018-08-08 00:00:00,2018-08-20 00:00:00,1176932,KH,2016-03-02 09:18:00,4.0,Hotel,Pay Later,3315054127106870014,Japan,0,Japan,2,2,0,1,JP,Japanese,537.6,Visa,Credit Card,JPY,True,1D1N_1N,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2018-02-08,1497,,,2224
